,p,id,.,v,:,t,;,b,e,:=,r,wr,int,bool,f,th,el,w,d,+,–,*,>,>=,=,<=,<,$,st,Program,body,var_sct,var_dct,var_dct’,ID,block,stmt’,stmt,assgn_stmt,read_stmt,write_stmt,if_stmt,ES,while_stmt,expr,arithm_expr,term,factor,bool_expr
0,s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,
2,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,s6,,,,r3,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,
4,,,s7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,s9,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,
6,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,
8,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,s21,,,,,,s9,,,s19,s20,,,s22,,,s23,,,,,,,,,,,,,,,,,,18,,12,15,13,14,16,,17,,,,,
10,,,,,,,s25,r6,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,
11,,s27,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,
12,,,,,,,s29,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,
13,,,r13,,,,r13,,r13,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,r14,,,,r14,,r14,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,r15,,,,r15,,r15,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,r16,,,,r16,,r16,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,r17,,,,r17,,r17,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,r18,,,,r18,,r18,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,s31,,,,,,,,,,,s32,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,s40,,,,,,,,,,,s41,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,38,39,35
23,,s40,,,,,,,,,,,s41,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,38,39,42
24,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,
26,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,s27,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,
28,,,,,,,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,s21,,,,,,s9,,,s19,s20,,,s22,,,s23,,,,,,,,,,,,,,,,,,18,,47,15,13,14,16,,17,,,,,
30,,,r20,,,,r20,,r20,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,r21,,,,r21,,r21,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,r22,,,,r22,,r22,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,r23,,,,r23,,r23,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,s40,,,,,,,,,,,s41,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,49,38,39,50
35,,,,,,,,,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,r37,,,,r37,,r37,,,,,,,r37,r37,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,s57,s58,,s52,s53,s54,s55,s56,,,,,,,,,,,,,,,,,,,,,,
38,,,r32,,,,r32,,r32,,,,,,,r32,r32,,r32,r32,r32,s59,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,,,,,,
39,,,r34,,,,r34,,r34,,,,,,,r34,r34,,r34,r34,r34,r34,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,
40,,,r35,,,,r35,,r35,,,,,,,r35,r35,,r35,r35,r35,r35,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,
41,,,r36,,,,r36,,r36,,,,,,,r36,r36,,r36,r36,r36,r36,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,s25,r6,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,
44,,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,r10,,,,r10,,r10,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,s29,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,
48,,,r19,,,,r19,,r19,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,r28,,,,r28,,r28,,,,,,,,r28,,,s57,s58,,s52,s53,s54,s55,s56,,,,,,,,,,,,,,,,,,,,,,
50,,,r29,,,,r29,,r29,,,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,s21,,,,,,s9,,,s19,s20,,,s22,,,s23,,,,,,,,,,,,,,,,,,18,,64,15,13,14,16,,17,,,,,
52,,s40,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,38,39,
53,,s40,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,38,39,
54,,s40,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,38,39,
55,,s40,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,38,39,
56,,s40,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,38,39,
57,,s40,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,39,
58,,s40,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,39,
59,,s40,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,
60,,s21,,,,,,s9,,,s19,s20,,,s22,,,s23,,,,,,,,,,,,,,,,,,18,,73,15,13,14,16,,17,,,,,
61,,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,r5,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,r25,,,,r25,,r25,,,,,,,,s75 / r25,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,
65,,,r38,,,,r38,,r38,,,,,,,r38,r38,,r38,s57,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,r39,,,,r39,,r39,,,,,,,r39,r39,,r39,s57,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,r40,,,,r40,,r40,,,,,,,r40,r40,,r40,s57,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,r41,,,,r41,,r41,,,,,,,r41,r41,,r41,s57,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,r42,,,,r42,,r42,,,,,,,r42,r42,,r42,s57,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,r30,,,,r30,,r30,,,,,,,r30,r30,,r30,r30,r30,s59,r30,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,
71,,,r31,,,,r31,,r31,,,,,,,r31,r31,,r31,r31,r31,s59,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,
72,,,r33,,,,r33,,r33,,,,,,,r33,r33,,r33,r33,r33,r33,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,
73,,,r27,,,,r27,,r27,,,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,r24,,,,r24,,r24,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,s21,,,,,,s9,,,s19,s20,,,s22,,,s23,,,,,,,,,,,,,,,,,,18,,76,15,13,14,16,,17,,,,,
76,,,r26,,,,r26,,r26,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
