,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,0,st,Program,body,var_sct,var_dct,var_dct’,ID,block,stmt’,stmt,assgn_stmt,read_stmt,write_stmt,if_stmt,ES,while_stmt,expr,arithm_expr,term,factor,bool_expr
0,s2,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13, ,1, , , , , , , , , , , , , , , , , , ,
1,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,e12,acc, , , , , , , , , , , , , , , , , , , , ,
2,e1,s3,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1, , , , , , , , , , , , , , , , , , , , ,
3,e2,e2,e2,s6,e2,e2,e2,r3,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2, , ,4,5, , , , , , , , , , , , , , , , ,
4,e8,e8,s7,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8, , , , , , , , , , , , , , , , , , , , ,
5,e2,e2,e2,e2,e2,e2,e2,s9,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2, , , , , , , ,8, , , , , , , , , , , , ,
6,e1,s11,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1, , , , ,10, , , , , , , , , , , , , , , ,
7,e14,e12,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,r1, , , , , , , , , , , , , , , , , , , , ,
8,e8,e8,r2,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8,e8, , , , , , , , , , , , , , , , , , , , ,
9,e14,s21,e14,e14,e14,e14,e14,s9,e14,e14,s19,s20,e14,e14,s22,e14,e14,s23,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14, , , , , , , ,18, ,12,15,13,14,16, ,17, , , , ,
10,e15,e15,e15,e15,e15,e15,s25,r6,e15,e15,e15,e15,e15,e15,e15,e15,e15,e15,e15,e15,e15,e15,e15,e15,e15,e15,e15,e15, , , , , ,24, , , , , , , , , , , , , , ,
11,e1,s27,e1,e1,r8,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1, , , , , , ,26, , , , , , , , , , , , , ,
12,e14,e15,e14,e14,e14,e14,s29,e15,r11,e14,e15,e15,e14,e14,e15,e14,e14,e15,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14, , , , , , , , ,28, , , , , , , , , , , ,
